title,director,cast,country,release_year,rating,duration,listed_in,description,platform
Street Outlaws,,,United States,2013,TV-14,2,"Documentaries, Reality, Sports","Oklahoma City is home to one of the largest undercover street racing rings in America. From a 1969 Chevy Nova to a race-ready farm truck, the vehicles come in all shapes and sizes and have one thing in common – the need for speed. The drivers will risk everything and do anything to make the top 10 “list” of the fastest cars. If you’re not on the list, you don’t matter.",Hulu
The Great,,,"United Kingdom, Australia",2020,TV-MA,1,"Comedy, Drama, History","EMMY® NOMINATED The Great is a satirical, comedic drama about the rise of Catherine the Great from outsider to the longest reigning female ruler in Russia's history. A fictionalized, fun and anachronistic story of an idealistic, romantic young girl, who arrives in Russia for an arranged marriage to the mercurial Emperor Peter. Hoping for love and sunshine, she finds instead a dangerous, depraved, backward world that she resolves to change. All she has to do is kill her husband, beat the church, baffle the military and get the court onside. A very modern story about the past which encompasses the many roles she played over her lifetime as lover, teacher, ruler, friend, and fighter. Incorporating historical facts occasionally, the series stars Elle Fanning as Catherine, Nicholas Hoult, Phoebe Fox, Adam Godley, Gwilym Lee, Charity Wakefield, Douglas Hodge, Sacha Dhawan, Sebastian de Souza, Bayo Gbadamosi and Belinda Bromilow.",Hulu
The Little Couple,,,United States,2009,TV-PG,2,"Documentaries, Reality","Follow Bill Klein and Jen Arnold as they embark on all the ups and downs of life together. They’ve faced not only the struggles of two little people in an average-sized world, but also the challenges and joys of a growing family.",Hulu
Just Shoot Me,,,United States,1997,TV-PG,7,"Comedy, Sitcom","Fashion and mayhem at the offices of Blush magazine, where Maya, (Laura San Giacomo of Sex, Lies, & Videotape and Pretty Woman) works for her father (George Segal) and a host of eccentric and neurotic co-workers. There's Nina (Wendy Malick), a libido-driven ex model, Elliot (Enrico Colantoni), the magazine's photographer and Dennis (David Spade), her father's power hungry assistant.",Hulu
Claws,,,United States,2017,TV-MA,3,"Comedy, Crime, Drama",A look at the life and crimes of five women who work at a Florida nail salon.,Hulu
Blindspot,,,United States,2015,TV-14,5,"Action, Crime, Drama","A vast international plot explodes when a beautiful Jane Doe is discovered naked in Times Square, completely covered in mysterious, intricate tattoos with no memory of who she is or how she got there. But there's one tattoo that is impossible to miss: the name of FBI agent Kurt Weller, emblazoned across her back. ""Jane,"" Agent Weller and the rest of the FBI quickly realize that each mark on her body is a crime to solve, leading them closer to the truth about her identity and the mysteries to be revealed. From Executive Producer Greg Berlanti (""The Mysteries of Laura,"" ""The Flash,"" ""Arrow"").",Hulu
Pitch,,,United States,2016,TV-14,1,"Drama, Sports","Pitch is the dramatic and inspirational story of a young pitcher who becomes the first woman to play Major League Baseball. A beautiful, tough and gifted athlete, GINNY BAKER (Kylie Bunbury, “Under The Dome”) is vaulted into instant fame when she’s called up by the San Diego Padres to make her Major League debut. Like any rookie, Ginny must prove herself to her teammates. Foremost among them is MIKE LAWSON (Mark-Paul Gosselaar, “Franklin & Bash,” “NYPD Blue”), the team’s ruggedly handsome star catcher. There’s instant chemistry between them, although neither dares admit it. After all, Mike is captain of the team and a few of his players don’t even want Ginny on the field. One of the players watching Ginny’s back is center fielder BLIP SANDERS (Mo McRae, “Sons of Anarchy”), an old friend from the minor leagues and his wife EVELYN (Meagan Holder, “You Again,” “Bring it On: Fight to the Finish”). Guiding her is her agent/confidante, AMELIA SLATER (Ali Larter, “Legends,” “Heroes”). Amelia saw Ginny’s star potential early on and left her previous job as a Hollywood publicist to concentrate on the young phenom, bringing along her young assistant ELIOT (Tim Jo, “The Neighbors”). Although groomed for this moment by her demanding father, BILL BAKER (guest star Michael Beach, “Sons of Anarchy”), the end of Ginny’s improbable journey is the beginning of an almost impossible one: representing her gender as she embarks on a successful baseball career under the glare of the white-hot media spotlight.",Hulu
Vikings,,,United States,2011,TV-14,6,"Action, Adventure, Drama",The adventures of Ragnar Lothbrok as he rises to become King of the Viking tribes.,Hulu
Listeners,,,Japan,2020,TV-14,1,"Action, Adventure, Anime","In a world without music, Echo saw Jimi Stonefree disappear fighting the Earless. Years later, he’s built his own Equipment that only “Prayers” can pilot such as the amnesiac girl named μ. The duo’s trek to recover her memories could just save the world.",Hulu
Bloom (AUS),,,United States,2019,,2,"Drama, International, Mystery","A year after a devastating flood has killed five locals in an idyllic country town, a mysterious new plant appears. The plant's phenomenal ability to restore youth is so formidable that attempting to harness it means re-evaluating values.",Hulu
Sophie La Girafe,,,United States,2017,TV-Y,1,"Family, Kids","Sophie la Girafe, a one-of-a-kind international icon! Sophie la Girafe was created more than 50 years ago, with more than 55 million products sold in over 80 countries. And she is now entering the world of animation for the first time. Sophie la Girafe invites little ones to learn through games and song in her tender, colorful and poetic universe. The aim of the series, which is based on Montessori pedagogy, is to awaken their senses and to encourage speech development.",Hulu
"Little People, Big World",,,United States,2014,TV-14,1,Reality,"Little People Matt and Amy Roloff are only 4-feet-tall, but they are determined to make the world their own. Raising four children-a mix of Little and average-sized siblings-they deal with emotional and financial burdens on their farm in Portland, OR.",Hulu
Songland,,,United States,2019,TV-PG,1,"Music, Reality","Top music producers Ester Dean, Shane McAnally and Ryan Tedder help create the next hit song as undiscovered songwriters pitch to superstar artists, including John Legend, the Jonas Brothers and more.",Hulu
Future Man,,,United States,2017,TV-MA,3,"Comedy, Science Fiction","Future Man stars Josh Hutcherson (The Hunger Games) as “Josh Futturman,” a janitor by day/gamer by night who is recruited by mysterious visitors to travel through time in order to prevent the extinction of humanity.",Hulu
Siren,,,United States,2018,TV-14,3,"Drama, Teen","The hour-long drama takes us inside Bristol Cove – a coastal town known for its legend of once being home to mermaids. When the arrival of a mysterious girl (played by Eline Powell) proves this folklore all too true, the battle between man and sea takes a very vicious turn as these predatory beings return to reclaim their right to the ocean.",Hulu
60 Days In: Narcoland,,,United States,2019,TV-14,1,"Crime, Documentaries, Reality","Teams will go undercover in some of the most dangerous, drug-infested areas in the Midwest. Viewers return to Indiana’s Clark County Jail, the home of “60 Days In” seasons 1 & 2, and for the first time, the investigation also extends beyond jail walls, as a team of participants goes undercover on the streets, immersing themselves within the Clark County and Bullitt County, Kentucky communities.",Hulu
90 Day Fiancé: Happily Ever After?,,,United States,2016,TV-14,4,"Documentaries, International, Reality","90 Day Fiance: Happily Ever After? catches up with some of the most memorable couples from 90 Day Fiance as they now face the next chapter in their marriages. The frenzied countdown to the altar may be behind them, but the true drama is just starting to unfold as these newlyweds face life's challenges with someone they barely know.",Hulu
Breaking Amish,,,United States,2012,TV-14,2,"Documentaries, Reality","Breaking Amish follows the lives of four Amish and one Mennonite as they pursue their dreams and leave their communities to experience the outside world in New York City. Experiencing many firsts, they'll have to make the ultimate decision in the end – to come back home or leave for good.",Hulu
