name,location,releaseYear,rating,length,genre,Streaming Service,serverId
Riverdale,United States,2019,0,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix,0
Schitt's Creek,"Canada, United States",2020,0,6 Seasons,TV Comedies,Netflix,0
The Assassination of Gianni Versace,United States,2018,0,1 Season,"Crime TV Shows, TV Dramas, TV Thrillers",Netflix,0
The Judgement,Thailand,2018,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
The Last Dance,United States,2020,0,1 Season,Docuseries,Netflix,0
They've Gotta Have Us,United Kingdom,2018,0,1 Season,"British TV Shows, Docuseries",Netflix,0
Why Are You Like This,Australia,2021,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
Elite,Spain,2021,0,4 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
Hospital Playlist,South Korea,2021,0,2 Seasons,"International TV Shows, Korean TV Shows, TV Comedies",Netflix,0
So Not Worth It,,2021,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
The Rational Life,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Black Summer,"Canada, United States",2021,0,2 Seasons,"TV Action & Adventure, TV Dramas, TV Horror",Netflix,0
Elite Short Stories: Carla Samuel,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,0
Katla,Iceland,2021,0,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Record of Ragnarok,,2021,0,1 Season,"Anime Series, International TV Shows",Netflix,0
The Gift,Turkey,2021,0,3 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Elite Short Stories: Omar Ander Alexis,,2021,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,0
Let's Eat,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Millennials,Argentina,2020,0,3 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,0
Penguin Town,,2021,0,1 Season,"Docuseries, Science & Nature TV",Netflix,0
Avengers Climate Conundrum,United States,2020,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
